PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
WO730726	"DASHIELL, ELMER M"	5/27/1976	60	Plastic	2	50	15	12	18	Not Available
WO730727	IDEAL WELL DRILLERS	5/12/1976	101	Plastic	2	96	75	5	20	Not Available
WO730728	IDEAL WELL DRILLERS	7/8/1976	35	Plastic	2	30	70	12	18	Not Available
WO730729	"DASHIELL, ELMER M"	5/21/1976	80	Plastic	2	70	15	13	18	Not Available
WO730730	"DASHIELL, ELMER M"	5/10/1976	80	Plastic	2	70	30	4	9	Not Available
WO730731	IDEAL WELL DRILLERS	5/20/1976	40	Plastic	2	35	75	8	20	Not Available
WO730732	BUNDICK WELL & PUMP	6/8/1976	250	Steel	2	240	25	8	38	35
WO730733	"DAISEY, CHARLES I"	5/29/1976	94	Steel	2	88	40	8	18	Not Available
WO730734	"HAMMOND, LEMUEL W."	6/12/1976	52	Steel	2	52	9	9	12	Not Available
WO730735	"LEONARD, WILLIAM C."	5/13/1976	20	Steel	2	20	10	12	20	Not Available
WO730736	"HAMMOND, LEMUEL W."	7/15/1976	35	Steel	2	35	6	8	10	14
WO730737	IDEAL WELL DRILLERS	5/25/1976	100	Plastic	2	95	75	3	20	Not Available
WO730738	IDEAL WELL DRILLERS	5/26/1976	30	Plastic	2	25	75	5	15	Not Available
WO730739	"LEONARD, WILLIAM C."	6/8/1976	48	Steel	2	48	10	15	48	Not Available
WO730740	"LEONARD, WILLIAM C."	5/11/1976	40	Steel	2	40	8	12	13	Not Available
WO730741	"HAMMOND, LEMUEL W."	6/19/1976	75	Steel	2	75	8	8	10	14
WO730742	IDEAL WELL DRILLERS	7/15/1976	100	Plastic	2	95	75	5	20	Not Available
WO730743	IDEAL WELL DRILLERS	6/19/1976	145	Plastic	2	135	10	18	21	Not Available
WO730744	IDEAL WELL DRILLERS	6/18/1976	180	Plastic	2	170	15	25	30	Not Available
WO730745	"LEONARD, WILLIAM C."	5/24/1976	55	Steel	2	55	8	15	55	Not Available
WO730746	"LEONARD, WILLIAM C."	5/26/1976	68	Steel	2	68	7	16	68	Not Available
WO730747	"LEONARD, WILLIAM C."	6/2/1976	30	Steel	2	30	7	15	30	Not Available
WO730748	"DASHIELL, ELMER M"	5/27/1976	97	Plastic	2	89	17	15	21	Not Available
WO730749	"PIGMAN, JOHN"	6/18/1976	402	Plastic	2	402	9	12	29	20
WO730750	IDEAL WELL DRILLERS	6/4/1976	73	Plastic	2	63	75	10	21	Not Available
WO730751	IDEAL WELL DRILLERS	7/20/1976	80	Plastic	2	75	60	15	21	Not Available
WO730752	IDEAL WELL DRILLERS	6/19/1976	100	Plastic	2	95	50	27	30	Not Available
WO730753	IDEAL WELL DRILLERS	6/19/1976	100	Plastic	2	95	50	27	30	Not Available
WO730754	IDEAL WELL DRILLERS	7/8/1976	108	Plastic	2	103	20	15	60	Not Available
WO730755	IDEAL WELL DRILLERS	7/8/1976	95	Plastic	2	90	20	15	60	Not Available
WO730756	"COWGER, LAWRENCE E,"	7/10/1976	80	Plastic	2	70	5	5	6	50
WO730757	"DASHIELL, ELMER M"	6/8/1976	60	Plastic	2	50	12	22	27	Not Available
WO730758	IDEAL WELL DRILLERS	7/9/1976	79	Plastic	2	74	60	9	20	Not Available
